  11, -20, -34,   2,  -2,   0,  -5,  -4,1474659665.487
  -5, -14, -37,   4,  -8,  -4,  -1,   2,1474659665.487
 -16,  -2, -23,   6,   2,  -2,   1,   1,1474659665.488
  -3,   4, -39,   1,   3,  -8,   0,   0,1474659665.488
  -6,  11, -48,  -4,  -2,  -2,   2,   0,1474659665.490
   3,  19,  86,  -7,  -6,   5,   1,   1,1474659665.490
   4, -13, -51, -10,   1,  -2,  -5,  -2,1474659665.491
   1,  18,  59,  -2,   0,   3,  -1,  -3,1474659665.491
   0,  -9, -13,   5,   6,   6,   2,   2,1474659665.497
  -5, -39,  -4,   4, -11,  -4,   0,  -1,1474659665.499
   2,  37,  40,   1, -12,  -4,   1,   4,1474659665.504
   6, -33, -24,  -8,   9,  -5,   2,  -8,1474659665.504
   5,  17,  23,   8,  -1,   4,   0,   0,1474659665.519
   0,  -6, -86,  -6,   2,   2,  -1,  -5,1474659665.519
   5, -12,  72,   4,  -5,   5,   0,  -5,1474659665.529
   0,   8, -32,  -4,  -1,   4,  -8,  -1,1474659665.529
  -4,  21,  94,  -1,   0,  -7,  -5,  -3,1474659665.534
  -9,  -9, -28,   2,   5,   4,   0,  -6,1474659665.534
   0, -12, -20,  -2,   4,   5,   2,   2,1474659665.558
  -7,  11,  -9,   6,   3,  -3,  -2,   7,1474659665.558
  10,  14,   5,  -2,  -1, -68,   4,   1,1474659665.597
  -4,   5,   9,  -8,   9, -15,   1,  -4,1474659665.597
  -3, -27, -61,   2,   0,   3,  -3,  -5,1474659665.598
 -11, -21,   1,   4, -10,  21,  -4,  -3,1474659665.598
   6,  63, -39,   9,   4,  19,  -2,   1,1474659665.598
  -8,   8, -24,  12,  10,   0,  -2,  -7,1474659665.598
  21,  17,  91,  -7,   1,   9,  -2,   1,1474659665.601
  -7, -24,  -5, -14,  -1,   0,  -1,  -2,1474659665.601
  18, -33, -18, -16,  -7,  10,   1,   0,1474659665.609
  -4,  41,  28,  -6,  -1, -10,   1,   3,1474659665.609
 -13, -38, -35,   1,   2,  -9,  -3,   3,1474659665.616
  -3,  14,  10,   2,  -9,  -3,   0,  -1,1474659665.616
  -3, -14,  22,   3,  -1,   5,  -1,  -3,1474659665.623
   7, -36, -61,  -3,   2,   7,  -3,  -1,1474659665.623
   9,  32,  72,   5,   1,   5,   1,  -2,1474659665.638
   4,  -3,   9,   8,  -2,  -9,   1,   6,1474659665.638
 -20, -13,  -5,  -5,   4,  16,   2,   2,1474659665.647
   1,  -9,  -3,   1,  -4,   1,  -3,   8,1474659665.647
 -10,  10,  10,  -3,  -2,   2,   1,  -1,1474659665.670
  -3,  24,  -8,  -5,   2,  -3,   0,  -7,1474659665.670
  -4, -16,  13,   7, -16,   1,  -5,  -6,1474659665.670
   8,   4,   2,  10, -14,  -7,  -4, -29,1474659665.670
  -4, -14, -33,   6, -14,  -9,  -1, -16,1474659665.684
  10,  13,   6,  -3,   7,   1,  -4,   1,1474659665.684
  -5,  -8,  33,  -9,  12,  -8,  -3,  -8,1474659665.685
  10,   6,  20, -11,  17,   5,   0,   3,1474659665.685
   8,  -1, -20,  -3,   5,  -3,   1, -10,1474659665.707
  -4,  -2,   0,  -8,   5,  -4,  -2, -10,1474659665.707
   1,  -8, -24,  -3,  -4,   0,   0,  15,1474659665.708
 -22,  -3, -26,  -3,  -1,   0,   3,  15,1474659665.708
  -7,  10,   8,   5,   4,   0,  -4,  11,1474659665.730
  -2, -29, -47,  -1,   0,  -9,   0,   9,1474659665.730
   1,  -4, -17,   0,   5,  -2,   0,   7,1474659665.730
  -2,  -4,  64,   1,  -4,   8,  -2,   8,1474659665.730
  -1, -10, -57, -13,  -8,  -6,  -5,   4,1474659665.744
  -6,  10,  20,  -5,  -9,  -2,  -3,   0,1474659665.744
 -23, -24, -11,  -2, -11,   0,  -5,  -3,1474659665.745
  -2,  -1,  49,   4,  -8,  -1,   3,   1,1474659665.745
  -6,  -6,   5,   4,  -2,  -4,   2,   0,1474659665.767
   6,  -8,  99,   2,  -4,  -6,  -4,  -4,1474659665.767
  12,  14,  39,  16,  17,   9,  -2,  -7,1474659665.768
   3,  28, -11,  -5,   4,   0,  -2,   2,1474659665.768
  -9, -42,  -6, -11,  -4,  -5,   1,   5,1474659665.789
  50,  -7, -57,  -4,  -2,  -6,  -2,  -5,1474659665.789
  13,   7, -62,  -5,  -7,   2,  -4,  -5,1474659665.790
   6,  -5,  -7,  -3, -11,  -2,  -3, -10,1474659665.790
 -17,  -8, -18,   2,   1,   1,   0,  -8,1474659665.804
 -26,  13, -19,  -1,   7,  -1,   3,   3,1474659665.804
 -14,   7,  39,   2,  10,  -3,   1,  -3,1474659665.805
   8,  19, -45,   3,   7,   0,   1,   1,1474659665.805
  -5,  16, -51, -10,   3,   0,  -5,   4,1474659665.827
 -14,   0,  66,   4,   7,  11,  -3,  -4,1474659665.827
   3,  -9,  10,  -9,  -3,   3,  11,   6,1474659665.828
  -1, -13,  -3,   3,   2,  -6,  -4,   0,1474659665.828
   3,  -6, -21,   6,  -3,  -5,   1,  -3,1474659665.849
   3,  -2, -44,   2,   0,  -6,   1,  -3,1474659665.849
  -7,  -4, -56, -11,  -5,  -7, -28,  -9,1474659665.850
  -7, -64, -45,   1,   6, -18,  29,   0,1474659665.850
   6,  14,  97,  -8,   2,   7,   0,   5,1474659665.864
 -13,  11,  -1,  -2,  -1,  -2,   6,  -1,1474659665.864
   2,  15, -13,   1,  -3,  -4, -21,  -4,1474659665.864
  -1,  -4,  17,   6,   0,   5,   4,   3,1474659665.865
   6,  15,  19,   3,   6,  -6,  -4,   0,1474659665.887
 -11,  12,  13,  -8,   3,  -4,  -6,   0,1474659665.887
 -11,  24,  26,  -7,  -2,  -3,   0,   2,1474659665.888
   4,   3, -66, -11,  -2,   3,  -9,  -1,1474659665.888
   2,  26,  92,  13,  -5,   3,   4,  -5,1474659665.909
   9, -70, -24,  -6,   1,  12,   1,   3,1474659665.909
   9,  56, -44,  -2,  -3,  -2,  11,  -1,1474659665.910
 -15, -98,  14,   4, 104,  -8,  -3,  -4,1474659665.910
  11,  74, -26,   1,   8,  -7,  -3,  -1,1474659665.923
  -2, -31, -23,   5, -20,   0,   3,   1,1474659665.923
   3,   7, 110,  -1, -40,   2,   7,   5,1474659665.931
  -4,  15, -28,  -4, -69,  -3,  -9,  -5,1474659665.931
   7,   6, -28,  -3, -26, -10,  -2,   0,1474659665.948
   5,  11,  -8,   2, -13,   6,  -1,  -2,1474659665.948
   5, -25, -37,   5, -17,   4, -16,  -1,1474659665.949
   1,  41,  41,   0, -22,  16,  20, -12,1474659665.949
  -6, -24, -27, -11,   0,   2,  -2,   3,1474659665.970
  -3,  40, -10,  -6, -13, -12,   7,  -3,1474659665.971
  -8, -28,  -3,   1,  15,  -1,  -8,  -1,1474659665.971
  -2,   1, -48,   0, -12,  -2, -13,   1,1474659665.971
 -14, -45,  87,  11,   2,   0,  -3,  -5,1474659665.985
  -5, -51, -72,   6,  10,  -2,  -8,   4,1474659665.985
   0,  18,  51,  -2,  19,   0,  12,   4,1474659665.985
  10,  28, -32, -12,  -5,   2,  -3,  -1,1474659665.985
   4, -29, -22,  -9,   0,   9,   9,  -2,1474659666.008
   9,   6, -12,  13,   7,   0,  -6,  -1,1474659666.008
 -14, -44, -25,  14,  10,  -6,   5,  -1,1474659666.008
   0,   3,  42, -12,  -8,  -7, -13,   1,1474659666.009
  -9,   1, -60,  -7,  -3,  -4,   1,   0,1474659666.030
   0,  24,  39,  -8,  -4,  -9,   1,   0,1474659666.030
 -10,   5, -14,   1,   1,  -9,   5,  -7,1474659666.031
  33,  21,   0,  -1,  -3,  -1, -10,  -4,1474659666.031
  -7,  37,   3,  -3,   1,   2,  -2,  -1,1474659666.044
  -9,  -2,  19,  10,  11,   5,  -2,  -4,1474659666.045
  -9, -17, -15,   9,   9,   3,   1,   4,1474659666.045
 -10, -14, -28,  -1,  -9,   0,  -2,   6,1474659666.045
  10, -10,  20,  -3,  -6,   4,  -6,  -2,1474659666.068
   6,  51, -36,  -4,  -9,   6,   5,   1,1474659666.068
  -9,  15,  35,  -3,  -1,   7,   0,  -4,1474659666.068
