   50.9375,   43.5625,    1.6250,1478626605.480
    7.9375,   11.9375,  -26.3750,1478626605.496
  106.7500,  -20.6250,  -99.6875,1478626605.525
  -87.5000,  -38.5625,  -25.5625,1478626605.539
 -121.8750,  -45.0625,  -17.3750,1478626605.556
  -48.8750,  -28.1250,   18.3125,1478626605.577
   -4.5000,   -6.1250,   33.7500,1478626605.599
  -13.8125,   -4.8750,   18.3750,1478626605.624
  -16.7500,   -0.3750,   17.0625,1478626605.637
  -11.0625,    2.1875,   25.0625,1478626605.659
  -16.5000,   -3.8125,   17.0625,1478626605.676
   -8.6250,   -4.0000,   14.5000,1478626605.698
  -21.5000,   -3.4375,   11.7500,1478626605.719
  -53.8125,   -1.8750,    2.8125,1478626605.736
 -104.8750,    8.1875,    1.9375,1478626605.758
 -321.9375,   20.4375,  -14.7500,1478626605.779
 -704.5000,   14.0000,  -39.2500,1478626605.795
 -950.4375,    9.3750,  -79.6250,1478626605.824
 -948.1250,   -8.6875, -126.1875,1478626605.840
 -599.6875,  -50.2500, -132.3125,1478626605.856
 -242.3125,  -51.2500,  -38.6250,1478626605.879
  124.3750,    2.8125,   73.0000,1478626605.902
  302.1875,   30.8750,  103.1875,1478626605.923
  291.6875,   22.2500,   41.0000,1478626605.938
  118.1250,   -2.7500,  -23.0000,1478626605.960
  -95.2500,  -22.5625,  -55.5625,1478626605.976
 -190.9375,  -20.1250,  -56.1250,1478626605.998
 -137.4375,   -7.6250,  -34.6250,1478626606.028
  -13.0625,   10.3750,    0.1250,1478626606.035
   84.8750,   24.0625,   23.3750,1478626606.058
  139.0000,   27.7500,   23.5000,1478626606.080
  179.2500,   24.6250,   42.1250,1478626606.096
  239.5000,  -19.0000,   53.5000,1478626606.117
  289.8750,  -94.8750,   55.8750,1478626606.140
  447.8750,  -87.6250,  -43.8125,1478626606.155
  689.2500,  -42.6250, -150.8125,1478626606.177
  564.3750,   47.7500,    8.5000,1478626606.201
  -42.4375,   99.5625,   90.3750,1478626606.215
 -694.3125,   32.6250,  -55.9375,1478626606.238
 -887.9375,    1.0000,  -82.1250,1478626606.260
 -626.5000,   13.4375,  -16.0000,1478626606.275
  -32.2500,    5.5000,  -34.6875,1478626606.297
  323.1875,   11.1250,  -24.5625,1478626606.320
  346.4375,   11.3750,   10.8125,1478626606.335
  175.8750,    4.3125,   14.8125,1478626606.357
  -84.6875,   -1.6875,    0.9375,1478626606.380
 -247.3125,    2.8750,   -7.7500,1478626606.395
 -213.8750,    5.5625,   -1.4375,1478626606.418
  -20.5625,  -23.0625,    6.0000,1478626606.440
  193.6875,  -58.8750,  -21.4375,1478626606.457
  385.7500,  -52.9375,  -11.6875,1478626606.479
  701.4375,  -14.7500,   32.3125,1478626606.500
  977.2500,   33.6250,   37.5000,1478626606.515
  971.6250,   77.8750,   47.9375,1478626606.538
  207.5625,   62.5625,  100.3750,1478626606.552
 -699.1250,  -22.7500,  -44.9375,1478626606.583
-1124.6875,   14.8125, -102.3750,1478626606.598
-1239.1250,  -40.7500, -101.8125,1478626606.612
 -714.5000,  -21.8750,  -78.4375,1478626606.635
  547.7500,  -34.5625,   19.1250,1478626606.657
 1091.0000,   14.5625,   63.8125,1478626606.672
  919.5000,   76.1875,  100.3750,1478626606.695
  330.5000,   21.5000,   12.0625,1478626606.717
 -450.5000,   10.6250,  -31.3750,1478626606.732
 -825.7500,   17.0625,  -61.8750,1478626606.756
 -894.6875,  -33.5625,  -71.7500,1478626606.778
 -455.3125,  -22.1875,  -32.9375,1478626606.792
  383.3750,  -15.6875,   14.1250,1478626606.815
