   5,   8,  19,  83,  33,  31,   0, -14,1478626603.375
   2, -30,  -7,  77,   0,  -5,  14,  -6,1478626603.375
  -1, -58, -19,  79, -13,   1,  62, -12,1478626603.375
   2, -47, -28,  60, -31, -28,  41,  -3,1478626603.375
  -6, -38, -44,  47, -22, -23,  31,  -3,1478626603.376
  -3,  -8, -37,  57, -12,   1,   0,  -4,1478626603.376
  -9,   2, -42,  62, -11, -15, -28,  -3,1478626603.380
 -10,  -1, -40,  61,   2,  61, -20,   3,1478626603.380
   4,  -4, -33,  86,  -7,  16, -12,  19,1478626603.387
  12,  19, -11,  96,   8,  63,  10,  12,1478626603.387
  23,  -6,  -9, -78,  63, -13,  11, -53,1478626603.394
  35,  -2, -31, -98,  63, -95,  47,-110,1478626603.394
  16, -24, -34,-128,   5,  36, -42,-109,1478626603.409
 -20,  -8, -39,-128, -57, -98, -41, -26,1478626603.409
 -31, -13, -20, -70, -74,   2, -15,  34,1478626603.426
 -30,   4,   4, -21, -52, -50,  -8,  50,1478626603.426
 -20,  -3,  14,  17, -38,  14,  18,  42,1478626603.427
  -7,  -2,   1,  29,  -8,   0,  15,  25,1478626603.427
  -7,  18,   5,  40,  -3, -35, -17,  30,1478626603.440
  -6,   4,   6,  32,  -3,  81, -10,  17,1478626603.441
  -2,   6,   5,  16, -14,  -5,   1,  17,1478626603.447
   1,   1,   4,  -8,   5, -20,   1,   3,1478626603.447
   6,   3,  -2,   8,   5,   2,   2,   2,1478626603.455
   1,  -5,  -3,  25,  -3, -78, -14,   0,1478626603.455
   4,   1,  -1,  14,  -9,  30,  -4,   8,1478626603.469
   0,   1,  -1, -10,   7,  35,  -7,  -8,1478626603.469
   1,   4,  -4,   8,   7,  37, -13,  -2,1478626603.477
  -6,  -2,  -7,  17,  -3,  60, -14,   4,1478626603.477
  -5,  -2,   1,   2,  -6,  16,  11,  -4,1478626603.484
  -1, -11,  -1,   1,  14,   9,   4, -13,1478626603.484
